num_threads,spin,time,num_counters
2,true,6948.061103,4
2,false,9212.576402,4
3,true,3812.777802,4
3,false,9892.939225,4
4,true,11674.190224,4
4,false,15953.300465,4
6,true,26117.834426,4
6,false,34006.871093,4
10,true,41545.621804,4
10,false,54796.152022,4
2,true,2797.020491,8
2,false,4529.048855,8
3,true,3884.870399,8
3,false,4988.811251,8
4,true,6078.464844,8
4,false,8410.768998,8
6,true,12330.804461,8
6,false,19338.713803,8
10,true,20815.069255,8
10,false,31419.000359,8
2,true,1182.045377,16
2,false,2413.220198,16
3,true,1031.068960,16
3,false,2417.939447,16
4,true,3212.104233,16
4,false,4871.474150,16
6,true,7762.296976,16
6,false,9426.423373,16
10,true,12247.315797,16
10,false,16615.720066,16
2,true,833.509291,32
2,false,1284.659318,32
3,true,522.947331,32
3,false,1668.232174,32
4,true,1754.076487,32
4,false,2600.295418,32
6,true,3307.142478,32
6,false,4150.150748,32
10,true,6794.994585,32
10,false,8738.462507,32
2,true,464.752439,64
2,false,666.641702,64
3,true,263.975490,64
3,false,351.854761,64
4,true,1008.664006,64
4,false,1372.243966,64
6,true,2013.484185,64
6,false,2905.900749,64
10,true,3673.508159,64
10,false,4555.460895,64
