num_wr,direct,time
50,false,152.625160
50,true,2768.764764
100,false,386.325053
100,true,5441.191424
200,false,741.108982
200,true,10055.363466
500,false,1800.862268
500,true,24812.371281
800,false,2800.354492
800,true,39698.374964
1000,false,3413.052859
1000,true,49359.243667
2000,false,6634.986005
2000,true,98311.533151
5000,false,16457.986081
5000,true,245332.449437
