num_threads,spin,time,inc_per_itr
2,true,2724.531450,1
2,false,2909.023597,1
3,true,18110.535645,1
3,false,5388.118252,1
4,true,17097.822192,1
4,false,7283.289964,1
6,true,18794.919963,1
6,false,6566.009497,1
8,true,21141.827856,1
8,false,6026.437811,1
10,true,24838.042024,1
10,false,6086.981208,1
2,true,1009.854458,10
2,false,801.009508,10
3,true,1718.003680,10
3,false,989.198160,10
4,true,1879.404356,10
4,false,1159.516193,10
6,true,2009.086782,10
6,false,1215.314041,10
8,true,2218.294190,10
8,false,1107.398431,10
10,true,2497.183428,10
10,false,1154.566481,10
2,true,818.923156,100
2,false,350.009537,100
3,true,1059.885398,100
3,false,540.476339,100
4,true,1152.303042,100
4,false,569.136720,100
6,true,1447.412846,100
6,false,675.159828,100
8,true,1274.560376,100
8,false,679.757516,100
10,true,1300.057502,100
10,false,659.878001,100
2,true,798.833562,500
2,false,342.080352,500
3,true,1249.015014,500
3,false,443.309215,500
4,true,1075.740339,500
4,false,484.424071,500
6,true,1311.126617,500
6,false,525.789694,500
8,true,1257.251672,500
8,false,543.780356,500
10,true,1460.591885,500
10,false,532.267254,500
2,true,756.728271,1000
2,false,306.083709,1000
3,true,903.863342,1000
3,false,424.230836,1000
4,true,1166.029126,1000
4,false,482.520051,1000
6,true,1207.422467,1000
6,false,512.867232,1000
8,true,1316.882240,1000
8,false,498.212624,1000
10,true,1321.742940,1000
10,false,502.641249,1000
