size,direct,time
1,true,0.011900
1,false,0.500000
5,true,0.004300
5,false,1.891900
10,true,0.005200
10,false,2.762500
20,true,0.008200
20,false,5.688500
50,true,0.008700
50,false,21.039100
100,true,0.013600
100,false,41.507800
200,true,0.021600
200,false,81.660200
500,true,0.014200
500,false,205.850600
1000,true,0.015100
1000,false,722.289200
1500,true,0.015300
1500,false,1584.381100
2000,true,0.038800
2000,false,2535.861500
