num_threads,spin,time,num_counters
2,true,6711.296048,4
2,false,9099.138828,4
3,true,8532.027798,4
3,false,12441.014321,4
4,true,18840.555932,4
4,false,16224.989512,4
6,true,26016.259589,4
6,false,34039.840435,4
10,true,41711.668673,4
10,false,53214.278906,4
2,true,3227.670811,8
2,false,4666.784070,8
3,true,2005.747317,8
3,false,4846.140409,8
4,true,6520.948355,8
4,false,9370.970085,8
6,true,13156.101691,8
6,false,19109.126956,8
10,true,20958.788007,8
10,false,30947.913480,8
2,true,1833.805627,16
2,false,2255.112561,16
3,true,1995.723559,16
3,false,2460.171944,16
4,true,3408.979698,16
4,false,4942.471068,16
6,true,7853.944015,16
6,false,9764.398980,16
10,true,12404.025289,16
10,false,16804.271460,16
2,true,792.938274,32
2,false,1252.222466,32
3,true,974.833747,32
3,false,1395.546417,32
4,true,1841.765438,32
4,false,2598.752973,32
6,true,3270.116688,32
6,false,5263.202092,32
10,true,6548.051835,32
10,false,8683.478681,32
2,true,301.706534,64
2,false,324.264584,64
3,true,270.193070,64
3,false,872.623199,64
4,true,978.029519,64
4,false,1250.583096,64
6,true,2339.158440,64
6,false,2511.813290,64
10,true,3545.265813,64
10,false,4477.287316,64
